repeat,fold,lda,elastic_net,svm
0,0,0.8571428571428571,1.0,0.8214285714285714
0,1,0.7666666666666666,0.8,0.7333333333333333
0,2,1.0,1.0,1.0
0,3,1.0,1.0,1.0
0,4,0.875,1.0,0.9166666666666666
1,0,0.6785714285714286,0.5714285714285714,0.5714285714285714
1,1,0.9,0.9,0.8
1,2,0.9583333333333334,1.0,0.875
1,3,0.9583333333333334,0.8333333333333334,0.9583333333333334
1,4,0.5,1.0,0.5
2,0,1.0,1.0,0.9285714285714286
2,1,0.6666666666666666,0.7666666666666666,0.7333333333333333
2,2,0.9166666666666666,0.875,0.9583333333333334
2,3,0.5416666666666666,0.45833333333333337,0.4166666666666667
2,4,1.0,1.0,0.875
3,0,0.8571428571428571,0.8571428571428571,0.8214285714285714
3,1,0.7666666666666667,1.0,0.7000000000000001
3,2,0.6666666666666667,0.8333333333333334,0.6666666666666667
3,3,0.9166666666666667,1.0,0.75
3,4,1.0,1.0,1.0
4,0,0.8214285714285714,1.0,0.3928571428571428
4,1,0.8,0.9333333333333333,0.7666666666666666
4,2,0.9166666666666666,0.8333333333333334,0.875
4,3,0.9166666666666667,0.9583333333333334,1.0
4,4,0.9166666666666667,1.0,0.8333333333333333
