feature,weight,abs_weight,top20_membership
sp|P12023|A4_MOUSE,8.276917891433865,8.276917891433865,1.0
sp|P05067|5xFADA4_HUMAN,8.242895891450761,8.242895891450761,1.0
sp|P12025|MK_MOUSE,7.413133665724521,7.413133665724521,1.0
sp|P08226|APOE_MOUSE,7.265904464810431,7.265904464810431,1.0
sp|Q62288|TICN1_MOUSE,6.996600898741502,6.996600898741502,1.0
sp|Q9ER58|TICN2_MOUSE,6.709274576205403,6.709274576205403,1.0
sp|Q06890|CLUS_MOUSE,6.26530143172192,6.26530143172192,1.0
sp|O89098|CYTF_MOUSE,5.386791630242804,5.386791630242804,0.88
sp|Q61790|LAG3_MOUSE,-5.277693253678886,5.277693253678886,0.76
sp|Q9QZF2|GPC1_MOUSE,5.06017106665206,5.06017106665206,1.0
sp|P05555|ITAM_MOUSE,4.87763479361732,4.87763479361732,0.96
sp|Q8R066|C1QT4_MOUSE,4.628809410034925,4.628809410034925,1.0
sp|Q8VCC9|SPON1_MOUSE,4.106793081290383,4.106793081290383,0.92
sp|P29788|VTNC_MOUSE,4.081599887959553,4.081599887959553,0.88
sp|O35709|ENC1_MOUSE,3.9997607545241762,3.9997607545241762,0.36
sp|P98086|C1QA_MOUSE,3.9106740138818896,3.9106740138818896,0.72
sp|P14106|C1QB_MOUSE,3.8712209657872307,3.8712209657872307,0.56
sp|Q02105|C1QC_MOUSE,3.7694299873777206,3.7694299873777206,0.56
sp|Q9QYM9|TEFF2_MOUSE,3.6547568680006464,3.6547568680006464,0.52
sp|P63089|PTN_MOUSE,3.5858725389685926,3.5858725389685926,0.4
