repeat,fold,lda,elastic_net,svm
0,0,1.0,1.0,1.0
0,1,1.0,0.75,1.0
0,2,1.0,0.9166666666666667,1.0
0,3,0.8333333333333334,0.8333333333333334,0.9166666666666667
0,4,0.9166666666666667,0.9166666666666667,0.9166666666666667
1,0,1.0,1.0,1.0
1,1,1.0,1.0,1.0
1,2,1.0,0.9166666666666667,1.0
1,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
1,4,0.9166666666666667,0.41666666666666663,1.0
2,0,1.0,1.0,1.0
2,1,0.5,0.5,0.75
2,2,1.0,1.0,1.0
2,3,1.0,1.0,1.0
2,4,1.0,1.0,1.0
3,0,0.9166666666666667,0.8333333333333334,0.9166666666666667
3,1,1.0,0.4166666666666667,1.0
3,2,1.0,0.9166666666666667,1.0
3,3,1.0,0.9166666666666667,1.0
3,4,1.0,1.0,1.0
4,0,1.0,0.9166666666666667,0.9166666666666667
4,1,1.0,1.0,1.0
4,2,1.0,1.0,1.0
4,3,0.8333333333333334,0.6666666666666667,0.8333333333333334
4,4,1.0,1.0,1.0
