feature,weight,abs_weight,top20_membership
sp|P29350|PTN6_HUMAN,-6.641421176007561,6.641421176007561,1.0
sp|O60763|USO1_HUMAN,-6.5712600570594315,6.5712600570594315,0.92
sp|Q16822|PCKGM_HUMAN,-6.119713999042548,6.119713999042548,0.72
sp|Q6ZU65|UBN2_HUMAN,5.82567443163194,5.82567443163194,0.72
sp|Q9P253|VPS18_HUMAN,5.642149078784826,5.642149078784826,0.68
sp|P62333|PRS10_HUMAN,-5.282373515688983,5.282373515688983,0.56
sp|Q8N543|OGFD1_HUMAN,5.239555268959217,5.239555268959217,0.52
sp|O43242|PSMD3_HUMAN,-4.981616850019867,4.981616850019867,0.56
sp|A8MWD9|RUXGL_HUMAN / sp|P62308|RUXG_HUMAN,-4.757122096452172,4.757122096452172,0.4
sp|P19404|NDUV2_HUMAN,-4.731246353164298,4.731246353164298,0.36
sp|Q68D91|MBLC2_HUMAN,-4.696622140693915,4.696622140693915,0.32
sp|Q53T59|H1BP3_HUMAN,4.6838585530350905,4.6838585530350905,0.16
sp|Q9BX93|PG12B_HUMAN,4.639800376470671,4.639800376470671,0.28
sp|P43686|PRS6B_HUMAN,-4.579258482087142,4.579258482087142,0.32
sp|P37235|HPCL1_HUMAN,-4.565776870513986,4.565776870513986,0.2
sp|Q9H9S4|CB39L_HUMAN,-4.534094849301182,4.534094849301182,0.24
sp|Q13618|CUL3_HUMAN,4.48750414828559,4.48750414828559,0.44
sp|Q9Y371|SHLB1_HUMAN,-4.456837455847648,4.456837455847648,0.16
sp|Q9HC98|NEK6_HUMAN / sp|Q8TDX7|NEK7_HUMAN,-4.449297012447715,4.449297012447715,0.12
sp|P42224|STAT1_HUMAN,-4.443094702912283,4.443094702912283,0.24
